Row,Column,Value
BEL,F1993,
BEL,F1994,
BEL,F1995,
BEL,F1996,
BEL,F1997,
BEL,F1998,
BEL,F1999,
BEL,F2000,1.484
BEL,F2001,1.336
BEL,F2002,1.398
BEL,F2003,1.526
BEL,F2004,1.089
BEL,F2005,1.197
BEL,F2006,1.404
BEL,F2007,1.883
BEL,F2008,1.256
BEL,F2009,1.158
BEL,F2010,0.233
BEL,F2011,1.289
BEL,F2012,1.13
BEL,F2013,0.463
BEL,F2014,2.417
BEL,F2015,1.371
BEL,F2016,1.882
BEL,F2017,1.731
BEL,F2018,2.196
BEL,F2019,2.081
BEL,F2020,2.572
BEL,F2021,1.203
BEL,F2022,2.807
BEN,F1961,-0.137
BEN,F1962,-0.24
BEN,F1963,0.152
BEN,F1964,-0.218
BEN,F1965,-0.094
BEN,F1966,-0.007
BEN,F1967,-0.252
BEN,F1968,-0.129
BEN,F1969,0.303
BEN,F1970,0.305
BEN,F1971,-0.183
BEN,F1972,0.08
BEN,F1973,0.627
BEN,F1974,0.089
BEN,F1975,-0.274
BEN,F1976,-0.194
BEN,F1977,0.357
BEN,F1978,-0.045
BEN,F1979,0.499
BEN,F1980,0.425
BEN,F1981,0.161
BEN,F1982,0.211
BEN,F1983,0.548
BEN,F1984,0.542
BEN,F1985,0.411
BEN,F1986,0.307
BEN,F1987,0.977
BEN,F1988,0.631
BEN,F1989,-0.052
BEN,F1990,0.58
BEN,F1991,0.302
BEN,F1992,-0.027
BEN,F1993,0.531
BEN,F1994,0.439
BEN,F1995,0.406
BEN,F1996,0.736
BEN,F1997,0.557
BEN,F1998,1.042
BEN,F1999,0.621
BEN,F2000,0.449
BEN,F2001,0.517
BEN,F2002,0.721
BEN,F2003,0.936
BEN,F2004,0.706
BEN,F2005,1.105
BEN,F2006,1.035
BEN,F2007,0.806
BEN,F2008,0.632
BEN,F2009,0.95
BEN,F2010,1.23
BEN,F2011,0.949
BEN,F2012,0.595
BEN,F2013,0.853
BEN,F2014,0.94
